%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1528372394056604470,0.00195231253162,0.00898589438631,0.00653584244308,0.0484690380165,-0.31363312509,0.151551576007
1528372394085299479,0.0039875861438,0.0110577266905,0.00496906763336,0.0865931617214,-0.440836580817,0.148928171687
1528372394108991926,0.00583707736501,0.0148713890345,-0.0327503848641,0.147202683488,-0.050654233449,0.199256749546
1528372394139442130,0.00368808528251,0.0196312029441,-0.0409547093306,0.523391793851,-0.00235302758997,0.17205800819
1528372394170245576,0.00389144838215,0.0110755163094,-0.00667624679804,0.124017969683,-0.227235131492,0.14956371027
1528372394204393918,0.00565357898043,0.00866854998887,0.00400247482801,-0.157270486698,-0.233248284717,0.187536295289
1528372394233800878,0.000762648601518,0.0129435473946,0.00144545080701,0.0891144100374,-0.24604439621,0.201719577783
1528372394263920112,0.00663058017342,0.0149642187015,-0.0140702091103,0.223388117135,-0.0803140473088,0.184317236938
1528372394293869997,0.00641546317957,0.0133587699824,-0.0088232623333,0.0887072913048,-0.152071300597,0.1055177007
1528372394347285821,0.00636905197858,0.0105813879063,0.00399564692239,-0.0274025126129,-0.244066026131,0.130002759247
1528372394368433776,0.00629769073138,0.00897263300102,-0.00115078042218,-0.0527272036419,-0.206120993299,0.129285418589
1528372394401444333,0.0147457803007,0.00731951216876,-0.00158565299767,0.0244499284516,-0.156179144255,0.072163924628
1528372394416807105,0.0187140171705,0.00669846049815,0.000878864927378,-0.100672443524,-0.290897758179,0.0663653243695
1528372394450809431,0.0223124297955,0.00651933047362,-0.0274219323708,-0.180578376074,-0.0413204187314,0.147230699996
1528372394499380645,0.0280431870996,-0.00929921692106,-0.025489420506,0.271439276615,-0.0945381898433,0.0591921935325
1528372394516198388,0.0359356149566,-0.00331719320804,-0.00128754300497,-0.0130908527524,-0.294477246417,0.153270981897
1528372394539913064,0.0407551188333,-0.00544666414583,-0.0253116681821,-0.0983001035168,-0.0397078501201,0.0722196156069
1528372394575560518,0.0447908670964,-0.00569235679135,-0.0240218614557,0.207239741209,-0.129477815015,0.13927964544
1528372394605335632,0.0515141380404,-0.00324736549816,-0.0193732088986,0.194619945178,-0.107130571926,0.175627100875
1528372394640002253,0.0534569194731,0.000446916720296,-0.0102291460989,-0.0301799904071,-0.175830727716,0.226450660537
1528372394672626015,0.0589952146603,-0.0106885791803,0.00267518805462,0.200887426468,-0.298777215211,0.142555756688
1528372394700966993,0.0648489533594,0.005926465525,-0.00636282540733,-0.0130403604929,-0.132907106026,0.190013826951
1528372394738171930,0.0671658923689,0.00445847606408,0.00265655741494,0.0970063084179,-0.178165611344,0.150258595724
1528372394767901075,0.0695946374146,0.0152078987991,0.0148291484963,0.134588328468,-0.233168326006,0.268513171246
1528372394796934522,0.0715199213411,0.0225493930905,0.0186289321744,0.0971127845501,-0.188586282413,0.303716668427
1528372394832224643,0.0718860866267,0.0178618164428,0.0302037156843,-0.00318330987915,-0.310308799224,0.278606459282
1528372394862232235,0.0689901187581,0.0153352468967,0.0125959556757,-0.0146510866402,-0.261855836174,0.326340242893
1528372394902446148,0.0619441415146,0.0053980661382,-0.00701034239829,0.0990995313979,-0.178209922778,0.348508090245
1528372394918314751,0.0693503970474,-0.015496306999,-0.0117182815252,0.0716552575062,-0.212000874329,0.190103142564
1528372394949734984,0.071826711819,-0.0100237104038,-0.0218987146348,-0.160773403442,-0.245127366908,0.28544801029
1528372394983056092,0.0689008802742,-0.0163069889009,-0.0428696640054,0.112267241574,-0.128610849682,0.254974329033
1528372395014503267,0.0719582611622,-0.0282426870322,-0.0368832319279,0.123192310842,-0.237026742627,0.224907754436
1528372395044148320,0.0760965442601,-0.0231979116459,-0.038078947483,-0.0317848220954,-0.23084507646,0.246195541293
1528372395087511637,0.0765105329274,-0.0473879333953,-0.0274623986374,0.155904905723,-0.333067337193,0.123774619033
1528372395117123722,0.0772222356401,-0.049103294316,-0.0111201006645,0.0380886518703,-0.511558946088,0.218305874886
1528372395136777521,0.0789383451722,-0.0577800298779,-0.027054659963,0.0364555774398,-0.323014354738,0.125690023738
1528372395182531757,0.0783911439043,-0.0542463573727,-0.0454019949744,-0.00872974388095,-0.218039116384,0.191005849664
1528372395211722947,0.0743614775056,-0.0526758010231,-0.0457719801813,0.0264372708212,-0.267099802766,0.178890874589
1528372395230264157,0.0729649359244,-0.0614759094536,-0.0418788787107,0.117786049219,-0.295132133155,0.135251352226
1528372395260674791,0.0699678267473,-0.0802290733864,-0.042445097331,0.0728132175109,-0.28777882969,-0.0169223885036
1528372395290900224,0.0665238886815,-0.0622046878799,-0.0514262579487,-0.0949384167776,-0.247198878748,0.133734509175
1528372395325810347,0.0616273296392,-0.0819580310392,-0.036388008266,0.302460581543,-0.403452559827,-0.0344052384287
1528372395356659651,0.0646900539407,-0.0866265344022,-0.0385320985768,-0.0283289677483,-0.370641062383,-0.0374889479043
1528372395391988441,0.0611787401105,-0.0918317609755,-0.0447071434318,-0.0897870309808,-0.380434280065,-0.047996115967
1528372395422257618,0.0625018330634,-0.0921340960736,-0.0598468596805,0.163963233152,-0.23256865976,-0.050073764052
1528372395453286529,0.0621094310583,-0.108022033052,-0.0565766065345,0.280572173854,-0.242780652227,-0.267708270748
1528372395487225905,0.0701589914512,-0.111787270327,-0.0638880466379,-0.120245821052,-0.190659461565,-0.352253773592
1528372395512960700,0.0730353871222,-0.0911703111397,-0.0627120805574,-0.034108777603,-0.228206955908,-0.251588145547
1528372395545169483,0.0787257663352,-0.107785346021,-0.0635951908518,0.10407758596,-0.240559053112,-0.441829101498
1528372395584263237,0.0908334629097,-0.0835141613173,-0.0868514745924,0.0133031422109,-0.0674020337688,-0.388694858655
1528372395616739676,0.0930485120005,-0.06567225343,-0.0891224352954,0.0558470305018,-0.171352523068,-0.331538570977
1528372395645326671,0.102541147314,-0.0686976790341,-0.0965172296107,0.088206257913,-0.128980801964,-0.425684098236
1528372395675428444,0.112223646496,-0.0564082008871,-0.113689271659,-0.0592314929082,-0.0360017023403,-0.365033065617
1528372395703047353,0.128179769278,-0.0827872013558,-0.12045556272,0.175215868204,0.0549268141124,-0.658580325461
1528372395732508576,0.139925758653,-0.0627087015614,-0.115430638948,0.399669264249,-0.0668169102652,-0.406591480365
1528372395762985859,0.153530931373,-0.0371195002943,-0.109665299595,0.030115432561,-0.123409892197,-0.413399844133
1528372395792787452,0.17660186058,-0.0365353004041,-0.112181504194,0.145858673322,-0.0788669700916,-0.424853367622
1528372395831378317,0.195689402699,-0.0119904713847,-0.120952897664,0.181917310494,0.0292990371088,-0.362012171949
1528372395867835386,0.209960734247,-0.00315442921702,-0.0968555126329,0.0990129199201,-0.206451107493,-0.380429628355
1528372395898820533,0.230444858104,0.0334602195281,-0.107131444905,0.00822315979702,-0.124344536415,-0.165875241547
1528372395919824639,0.24705340622,0.0466366615385,-0.114366338879,0.129887769006,-0.121306639621,-0.210088547391
1528372395952177207,0.264992415865,0.0678796332862,-0.127733200153,0.176784146641,-0.096538136005,-0.203496706436
1528372395982649274,0.281073694185,0.0816661324299,-0.133868517319,0.0487223702712,-0.210058438407,-0.287338998284
1528372396016816896,0.300292369885,0.095597546252,-0.15665121477,0.230352512402,-0.181769345904,-0.312654192447
1528372396061128394,0.315155193963,0.121147694406,-0.180927558659,0.147344334014,-0.093220485036,-0.225394779793
1528372396083958601,0.322938511701,0.132036083789,-0.197581604031,0.0738911769793,-0.146083991403,-0.287841695999
1528372396109153838,0.320124724456,0.134772416599,-0.206095617324,0.100350072415,-0.152356776422,-0.299429504543
1528372396139348745,0.316073494667,0.134648970862,-0.211686988416,-0.0898551254799,-0.212464914987,-0.381028992047
1528372396191864386,0.306974668426,0.156651169542,-0.214217452537,-0.220029008313,-0.361803458836,-0.244813241423
